DESIGN NUMBER,Colour Code,Coverage 01,Coverage 02,Coverage 03,Coverage 04,Coverage 05,Coverage 06,Coverage 07,Coverage 08,Coverage 09,Coverage 10,Coverage 11,Coverage 12,Coverage 13,Coverage 14,Total coverage
A0000000B1,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,p8a0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P700000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P100000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P700000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P100000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P5B0000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P100000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P300000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000004,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P700000003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P300000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000018,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8B0000017,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P200000016,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P5C0000015,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8C0000014,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000013,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P5A0000012,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8C0000011,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P200000010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000009,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P100000008,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000007,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000006,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P400000005,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P200000004,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P5B0000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000000B01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000000B01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000000B01,P600000004,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P600000003,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P900000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P8A0000001,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,P100000002,5.14,100,0,0,0,0,0,0,0,0,0,0,0,0,105.14
A000000B01,P700000001,2.64,100,0,0,0,0,0,0,0,0,0,0,0,0,102.64
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000000B01,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100
A000001G01,P700000001,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
A000001G01,P700000001,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
A000001G01,P700000001,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
A000001G01,P700000004,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
A000001G01,R8A0000001,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
A000001G01,P900000001,15.2,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2
A000001G01,P700000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000011G01,,24.07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07
A000011G01,P100000001,24.07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07
A000011G01,PW00000001,24.07,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,P8A0000002,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,P300000001,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,P600000001,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000013G02,P600000001,0.44,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.8
A000014G02,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000032G02,,21.74,21.88,0,0,0,0,0,0,0,0,0,0,0,0,43.62
A000041G01,PW00000003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P700000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P8A0000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,PW00000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P700000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P700000010,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P8A0000009,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P8A00000008,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P8A0000007,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P900000006,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P700000005,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P300000004,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P900000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P900000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P100000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P100000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P100000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P300000003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P600000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,PW0000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P600000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P200000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P600000003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P100000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P700000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P900000003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P600000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P700000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P900000002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,P100000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000041G01,PW00000001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10
A000042G01,P8A0000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,P8A0000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,P3000000004,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,P8B00000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,DW0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000042G01,P600000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000042G01,P600000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000042G01,PW00000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A000042G01,PW00000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,PW7FJ00354,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,PW8FJ00354,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,PW00000002,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,PW00000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,P200000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000042G01,P700000001,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,14.93
A000044G01,P600000001,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,6.31
