K1,Construction,Warp,Weft,EPI-PPI
10606,6OE*6OE-48*44-162.6-4/4 MATT,6OE,6OE-48*44-162.6-4/4 MATT,48*44
10609,885D.PET*885D.PET-38*28-156-PLAIN,885D.PET,885D.PET-38*28-156-PLAIN,38*28
10609,885D.PET*885D.PET-38*28-156-PLAIN,885D.PET,885D.PET-38*28-156-PLAIN,38*28
10714,7OE*6OE-68*38-165.1- 3/1,7OE,6OE-68*38-165.1- 3/1,68*38
10750,"7OE*7OE-68*38-160-3/1,S TWILL",7OE,"7OE-68*38-160-3/1,S TWILL",68*38
10752,"7OE*7OE-68*38-156.2-3/1,S TWILL",7OE,"7OE-68*38-156.2-3/1,S TWILL",68*38
10753,"7OE*7OE-68*44-162.6-3/1,S TWILL",7OE,"7OE-68*44-162.6-3/1,S TWILL",68*44
10756,"7OE*10OE-66*36-160-3/1,S TWILL",7OE,"10OE-66*36-160-3/1,S TWILL",66*36
10758,"7OE*7OE-66*44-159.2-3/1,S TWILL",7OE,"7OE-66*44-159.2-3/1,S TWILL",66*44
10759,"7OE*7OE-64*42-172.7-3/1,S TWILL",7OE,"7OE-64*42-172.7-3/1,S TWILL",64*42
10761,7OE*6OE-64*44-160-3/1 BKT,7OE,6OE-64*44-160-3/1 BKT,64*44
10763,"7OE*7OE-66*42-161.2-3/1,S TWILL",7OE,"7OE-66*42-161.2-3/1,S TWILL",66*42
10764,"7OE*7OE-70*40-165.1-3/1,S TWILL",7OE,"7OE-70*40-165.1-3/1,S TWILL",70*40
10765,"7OE.OG*7OE.OG-66*44-163.2-3/1,S TWILL",7OE.OG,"7OE.OG-66*44-163.2-3/1,S TWILL",66*44
10765,"7OE*7OE-66*44-163.2-3/1,S TWILL",7OE,"7OE-66*44-163.2-3/1,S TWILL",66*44
10766,7OE*7OE-66*38-165-3/1 S TWILL,7OE,7OE-66*38-165-3/1 S TWILL,66*38
10766,"7OE*7OE-66*38-165-3/1,S TWILL",7OE,"7OE-66*38-165-3/1,S TWILL",66*38
10828,8OE*10K.SPX(70D)-58*46-184.4-3/1 S TWILL,8OE,10K.SPX(70D)-58*46-184.4-3/1 S TWILL,58*46
10828,"8OE*10SPX-58*46-184.4-3/1,S TWILL",8OE,"10SPX-58*46-184.4-3/1,S TWILL",58*46
10828,"8OE*10SPX-58*46-153.7-3/1,S TWILL",8OE,"10SPX-58*46-153.7-3/1,S TWILL",58*46
10828,"8OE*10LYC-58*46-153.7-3/1,S TWILL",8OE,"10LYC-58*46-153.7-3/1,S TWILL",58*46
10829,8OE*10OE-66*52-160-3/1 BKT,8OE,10OE-66*52-160-3/1 BKT,66*52
10831,"8OE*8OE-66*42-157.5-2/1,S TWILL",8OE,"8OE-66*42-157.5-2/1,S TWILL",66*42
10841,"8OE*10SPX-61*46-173.5-2/1,Z TWILL",8OE,"10SPX-61*46-173.5-2/1,Z TWILL",61*46
10841,"8OE*10SPX-61*46-163.3-2/1,Z TWILL",8OE,"10SPX-61*46-163.3-2/1,Z TWILL",61*46
10842,8OE*8OE-68*50-153.7-2/2 MATT,8OE,8OE-68*50-153.7-2/2 MATT,68*50
10843,"8OE*10K.SPX-61*46-168.4-2/1,Z TWILL",8OE,"10K.SPX-61*46-168.4-2/1,Z TWILL",61*46
10844,"8OE+8MC*10OE-68*54-161.5-3/1,Z TWILL",8OE+8MC,"10OE-68*54-161.5-3/1,Z TWILL",68*54
10845,8OE*10K.SPX(70D)-58*46-186.03-3/1 S TWILL,8OE,10K.SPX(70D)-58*46-186.03-3/1 S TWILL,58*46
10845,8OE*10K.SPX(70D)-58*46-186.03-3/1 S TWILL,8OE,10K.SPX(70D)-58*46-186.03-3/1 S TWILL,58*46
10845,"8OE*10K.SPX-58*46-184.4-3/1,S TWILL",8OE,"10K.SPX-58*46-184.4-3/1,S TWILL",58*46
10846,8OE*10K.SPX(70D)-68*48-174.80-3/1 S TWILL,8OE,10K.SPX(70D)-68*48-174.80-3/1 S TWILL,68*48
10846,8OE*10K.SPX(70D)-68*48-174.5-3/1 S TWILL,8OE,10K.SPX(70D)-68*48-174.5-3/1 S TWILL,68*48
10846,"8OE*10SPX-68*48-174.5-3/1,S TWILL",8OE,"10SPX-68*48-174.5-3/1,S TWILL",68*48
11008,10OE.OG*10OE-69*38-157.5-PLAIN,10OE.OG,10OE-69*38-157.5-PLAIN,69*38
11008,10OE*10OE-69*38-165.2-PLAIN,10OE,10OE-69*38-165.2-PLAIN,69*38
11008,10OE*10OE-69*38-157.5-PLAIN,10OE,10OE-69*38-157.5-PLAIN,69*38
11008,10OE*10OE-69*38-157.5-PLAIN,10OE,10OE-69*38-157.5-PLAIN,69*38
11024,10OE*10OE-69*40-162.1-PLAIN,10OE,10OE-69*40-162.1-PLAIN,69*40
11034,"10OE.OG*10OE.OG-66*40-160-3/1,S TWILL",10OE.OG,"10OE.OG-66*40-160-3/1,S TWILL",66*40
11034,"10OE*10OE-66*40-160-3/1,S TWILL",10OE,"10OE-66*40-160-3/1,S TWILL",66*40
11034,"10OE*10OE-66*40-160-3/1,S TWILL",10OE,"10OE-66*40-160-3/1,S TWILL",66*40
11061,10OE*10OE+10SLUB-64*68-- MATT,10OE,10OE+10SLUB-64*68-- MATT,64*68
11087,"10OE*7OE-76*44-161.3-3/1,S TWILL",10OE,"7OE-76*44-161.3-3/1,S TWILL",76*44
11094,"10OE.OG*6OE.OG-54*52-171.2-2/2,S TWILL",10OE.OG,"6OE.OG-54*52-171.2-2/2,S TWILL",54*52
11094,"10OE*6OE-54*52-171.2-2/2,S TWILL",10OE,"6OE-54*52-171.2-2/2,S TWILL",54*52
11094,10OE*6OE-54*52-159-2/2S TWILL,10OE,6OE-54*52-159-2/2S TWILL,54*52
11097,10OE*10OE-74*38-163.1-OXFORD,10OE,10OE-74*38-163.1-OXFORD,74*38
11258,12K*10K-78*44-174.1-3/1 S TWILL,12K,10K-78*44-174.1-3/1 S TWILL,78*44
11258,"12OE*10OE-79*44-166.2-3/1,S TWILL",12OE,"10OE-79*44-166.2-3/1,S TWILL",79*44
11258,"12OE*10OE-78*44-165.3-3/1,S TWILL",12OE,"10OE-78*44-165.3-3/1,S TWILL",78*44
11258,"12K*10K-78*44-174.1-3/1,S TWILL",12K,"10K-78*44-174.1-3/1,S TWILL",78*44
11260,12OE*16OE+16SPX-70*60-155.7-2/2 TWILL,12OE,16OE+16SPX-70*60-155.7-2/2 TWILL,70*60
11260,12OE*16OE+16LYC-70*60-155.7-2/2 TWILL,12OE,16OE+16LYC-70*60-155.7-2/2 TWILL,70*60
11267,"12OE*8OE-76*52-160-2/2,S TWILL",12OE,"8OE-76*52-160-2/2,S TWILL",76*52
11270,"12CVC*8CVC-71*45-165.1-2/1,S TWILL",12CVC,"8CVC-71*45-165.1-2/1,S TWILL",71*45
11273,12OE*20SPX-76*74-161-DOBBY TOP BEAM,12OE,20SPX-76*74-161-DOBBY TOP BEAM,76*74
11283,12OE*10OE-72*44-160.8-3/1 TWILL,12OE,10OE-72*44-160.8-3/1 TWILL,72*44
11291,12K*12OE-76*68-161.3-2/2 HBT TOP BEAM,12K,12OE-76*68-161.3-2/2 HBT TOP BEAM,76*68
11297,12OE*12OE-88*60-157.5-3/1 TWILL,12OE,12OE-88*60-157.5-3/1 TWILL,88*60
11299,"12OE*10OE-87*52-162.5-3/1,S TWILL",12OE,"10OE-87*52-162.5-3/1,S TWILL",87*52
11299,"12K*10K-87*52-162.6-3/1,S TWILL",12K,"10K-87*52-162.6-3/1,S TWILL",87*52
11403,14VORTEX.PC*14VORTEX.PC-81*50-161.9-2/1 S TWILL,14VORTEX.PC,14VORTEX.PC-81*50-161.9-2/1 S TWILL,81*50
