Fibre,Finish,Weave,GSM min,GSM max,Warp Tear,Weft Tear,Warp Tensile,Weft Tensile,Warp Slippage,Weft Slippage
CT,SF,Twill,0,105,,,150,130,68,68
CT,SF,Twill,105,135,11,9,175,140,68,68
CT,SF,Twill,136,170,13,11,200,150,89,89
CT,SF,Twill,171,205,15,12,225,175,89,89
CT,SF,Twill,206,270,16,13,250,200,89,89
CT,SF,Twill,271,340,18,15,275,225,89,89
CT,SF,Plain,0,105,7,7,125,95,68,68
CT,SF,Plain,105,135,9,7,150,110,68,68
CT,SF,Plain,136,170,9,7,175,130,68,89
CT,SF,Plain,171,205,11,9,200,150,89,89
CT,SF,Plain,206,270,13,11,225,175,89,89
CT,SF,Plain,271,340,15,13,250,200,89,89
ST,SF,Plain,0,105,7,7,125,75,68,68
ST,SF,Plain,105,135,9,7,150,95,68,68
ST,SF,Plain,136,170,12,9,175,110,68,89
ST,SF,Plain,171,205,14,11,225,140,89,89
ST,SF,Plain,206,270,16,13,250,175,89,89
ST,SF,Plain,271,340,16,13,275,200,89,89
CT,PF,Twill,0,105,,,120,104,54.4,54.4
CT,PF,Twill,105,135,8.8,7.2,140,112,54.4,54.4
CT,PF,Twill,136,170,10.4,8.8,160,120,71.2,71.2
CT,PF,Twill,171,205,12,9.6,180,140,71.2,71.2
CT,PF,Twill,206,270,12.8,10.4,200,160,71.2,71.2
CT,PF,Twill,271,340,14.4,12,220,180,71.2,71.2
CT,PF,Plain,0,105,5.6,5.6,100,76,54.4,54.4
CT,PF,Plain,105,135,7.2,5.6,120,88,54.4,54.4
CT,PF,Plain,136,170,7.2,5.6,140,104,54.4,71.2
CT,PF,Plain,171,205,8.8,7.2,160,120,71.2,71.2
CT,PF,Plain,206,270,10.4,8.8,180,140,71.2,71.2
CT,PF,Plain,271,340,12,10.4,200,160,71.2,71.2
ST,PF,Plain,0,105,5.6,5.6,100,60,54.4,54.4
ST,PF,Plain,105,135,7.2,5.6,120,76,54.4,54.4
ST,PF,Plain,136,170,9.6,7.2,140,88,54.4,71.2
ST,PF,Plain,171,205,11.2,8.8,180,112,71.2,71.2
ST,PF,Plain,206,270,12.8,10.4,200,140,71.2,71.2
ST,PF,Plain,271,340,12.8,10.4,220,160,71.2,71.2
