k1,construction
11000001,1/10+1/10*1/20 -68*64-146-2/2HBT-256 $
11000005,10OE*10OE-80*58-149-2/2 HBT-365 $
11000013,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,10OE*14SPX-3/1 S TWILL
11000013,10OE*14SPX-3/1 S TWILL
11000013,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000019,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,10OE*14SPX(70D)-66*60-169.04-2/2 BKT
11000019,10OE*14SPX(70D)- *60-2/2 BKT
11000019,10OE*14SPX(70D)- *60-2/2 BKT
11000032,10OE*10OE-66*46-150-2/2 Z TWILL 290 $
11000032,10OE*10OE- *46-2/2 Z TWILL
11000032,10OE*10OE- *46-2/2 Z TWILL
11000032,10OE*10OE-66*46-150-2/2 Z TWILL 290 $
11000036,10OE*10OE- *44-2/1 Z TWILL
11000037,10OE+30/2RGL*30/2RGL+10SPX(70D)- *64-DOBBY
11000037,10OE+30/2RGL*30/2RGL+10SPX(70D)- *64-DOBBY
11000043,10OE*10OE *46- -DOBBY
11000044,10C MC*10C MC- *34- -OXFORD
110131,10OE*16OE-*54--PLAIN-232
110185,10OE*10OE
110192,10OE*16SPX-73*62-124-2/2 MATT-239
110193,10K*10K-72*50-150-2/1 TWILL-294
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,10OE+10MC*14SPX
11096,10OE*10OE-68*58-145-2/2 TWILL-299
11100012,1/24*1/24 -133*72-160-PLAIN
11200004,12C.PC*12C.PC- *52-2/2 Z TWILL
11200004,12PC*12PC-EXTRA WIDTH
11200006,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,12OE*16SPX-2/2 BKT
11200006,12OE*16SPX-2/2 BKT
11200006,12OE*16SPX-2/2 BKT
11200006,12OE*16SPX(70D)- *60-2/2 BKT
11200006,12OE*16SPX(70D)- *60-2/2 BKT
11200006,12OE*16LYC(70D)- *60-2/2 BKT
11200007,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
11200007,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
11200007,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
11200007,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
11200008,12OE+12C.CVC*12OE+12C.CVC-78*60-150-2/2 Z TWILL-280 $
11200010,12OE*12OE-60*44-161-2/2 Z TWILL 220 $
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-60*44-161-2/2 Z TWILL 220 $
11200010,12OE*12OE-60*44-161-2/2 Z TWILL 220 $
11200010,12OE*12OE-60*44-161-2/2 Z TWILL 220 $
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200010,12OE*12OE-2/2 Z TWILL
11200012,12OE*12OE-62*44-147-2/2 HBT 226
112105,12OE*12OE-65*46-148-2/2 TWILL-219
112107,12OE.PC+12MC*16SPX-*48--3/1 BKT-194
112108,12OE.PC+12MC*16SPX-*48--2/2 TWILL-194
112113,12OE*12OE-67*52-150-2/2 TWILL-232
11264,12OE*12OE-68*64-148-2/2 MATT-262
11264,12OE*12OE-68*64-148-2/2 MATT-262
11279,12OE+10CVC*12OE-*68--2/2 HBT-301
11290,12K+10CVC*16OE-100*72-154-DOBBY-303
11400008,14C.PC*14C.PC
11400019,14OE*14OE-72*66-148-2/2 Z TWILL-255 $
11400019,14OE*14OE-2/2 HBT
11400020,14OE*14OE-72*66-150-2/2 HBT-255 $
11403,14PC*14PC-88*50-149-2/1 TWILL-234
11403,14PC*14PC-88*50-149-2/1 TWILL-234
11403,14PC*14PC-88*50-149-2/1 TWILL-234
114137,14OE*14OE-70*58-150-PLAIN-230 $
114137,14OE*14OE-70*58-150-PLAIN-230 $
11600001,16OE*16OE
11600004,16OE*16SPX
11600006,16OE*20SPX-104*80-148-2/2 S TWILL-288 $
11600012,16OE*16OE-68*56-152-PLAIN-201 $
11600012,16OE*16OE-68*56-152-PLAIN-201 $
