k1,k2,k3,k4,construction
11000001,BAOMY,F21001,RR01,1/10+1/10*1/20 -68*64-146-2/2HBT-256 $
11000005,BAOO,W11001,RR01,10OE*10OE-80*58-149-2/2 HBT-365 $
11000013,BAOC,W11001,HH01,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,BAOC,W11001,HH02,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,BAOC,W11001,HH03,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,BAOC,W11001,HH04,10OE*14SPX-3/1 S TWILL
11000013,BAOC,W11001,HH05,10OE*14SPX-3/1 S TWILL
11000013,BAOC,W11001,RR01,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000013,BAOC,W11001,RR02,10OE*14SPX-79*56-144-3/1 S TWILL-320 $
11000019,BAOC,W11001,HH01,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,BAOC,W11001,HH02,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,BAOC,W11001,HH03,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,BAOC,W11001,HH04,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,BAOC,W11001,HH05,10OE*14SPX-78*60-145-2/2 BKT-330 $
11000019,BAOC,W11001,HH12,10OE*14SPX(70D)-66*60-169.04-2/2 BKT
11000019,BAOCJ,W11001,HH11,10OE*14SPX(70D)- *60-2/2 BKT
11000019,BAOCJ,W11001,HH12,10OE*14SPX(70D)- *60-2/2 BKT
11000032,BAOO,F12001,HH01,10OE*10OE-66*46-150-2/2 Z TWILL 290 $
11000032,BAOO,F12001,HH04,10OE*10OE- *46-2/2 Z TWILL
11000032,BLOO,F12001,HH03,10OE*10OE- *46-2/2 Z TWILL
11000032,LLOO,F12001,HH02,10OE*10OE-66*46-150-2/2 Z TWILL 290 $
11000036,BLOO,S21001,HH01,10OE*10OE- *44-2/1 Z TWILL
11000037,BLOC,C22001,HH01,10OE+30/2RGL*30/2RGL+10SPX(70D)- *64-DOBBY
11000037,BLOC,C23001,HH01,10OE+30/2RGL*30/2RGL+10SPX(70D)- *64-DOBBY
11000043,BAOO,S21001,HH01,10OE*10OE *46- -DOBBY
11000044,BACC,S21001,HH01,10C MC*10C MC- *34- -OXFORD
110131,BA,F21001,RR03,10OE*16OE-*54--PLAIN-232
110185,BA,S21002,RR01,10OE*10OE
110192,BA,W11001,RR01,10OE*16SPX-73*62-124-2/2 MATT-239
110193,BA,S21001,RR01,10K*10K-72*50-150-2/1 TWILL-294
110195,BA,W21001,HH01,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BA,W21001,HH02,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BA,W21001,HH03,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BA,W21001,HH04,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BA,W21001,HH05,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BA,W21001,HH06,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BAOC,W21001,RR01,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BAOC,W21001,RR02,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BAOC,W21001,RR03,10OE+10MC*14SPX-78*60-130-3/1 TWILL-310 $
110195,BAOC,W21001,RR04,10OE+10MC*14SPX
11096,BA,C22D28,RR01,10OE*10OE-68*58-145-2/2 TWILL-299
11100012,BAFRC,W11001,RR001,1/24*1/24 -133*72-160-PLAIN
11200004,BACC,C22001,DH02,12C.PC*12C.PC- *52-2/2 Z TWILL
11200004,BACC,C22001,DR01,12PC*12PC-EXTRA WIDTH
11200006,BAOC,W11001,HH01,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,BAOC,W11001,HH02,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,BAOC,W11001,HH03,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,BAOC,W11001,HH04,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,BAOC,W11001,HH05,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,BAOC,W11001,HH06,12OE*16SPX-78*60-142-2/2 BKT-280 $
11200006,BAOC,W11001,HH07,12OE*16SPX-2/2 BKT
11200006,BAOC,W11001,HH10,12OE*16SPX-2/2 BKT
11200006,BAOC,W11001,HH11,12OE*16SPX-2/2 BKT
11200006,BAOC,W11001,HH13,12OE*16SPX(70D)- *60-2/2 BKT
11200006,BAOC,W11001,HH14,12OE*16SPX(70D)- *60-2/2 BKT
11200006,BAOCL,W11001,HH16,12OE*16LYC(70D)- *60-2/2 BKT
11200007,BAOC,F21001,HH01,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
11200007,BAOC,F21001,HH02,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
11200007,BAOC,F21001,HH03,12OE*14SPX-98*56-144-3/1 Z TWILL-330 $
