k1,k2,k3,k4,construction
11600111,BAOCJ,W11001,HH04,16OE*16MC- -DOBBY-04.04.019
12000147,BAMM,W11001,HH01,20COM*20COM-76*68-145-PLAIN-181 $
12000147,BAMM,W11001,HH02,20COM*20COM-76*68-145-PLAIN-181 $
12000233,BAMM,S21001,HH01,20COM*30COM-72*56-143-PLAIN-137$
12000233,BAMM,W11001,HH01,20COM*30COM-72*56-143-PLAIN-137$
12000233,BAMMJ,S21001,HH01,20COM*30COM-72*56-143-PLAIN-137$
12000233,BAMMJ,W11001,HH01,20COM*30COM- 72*56-143-PLAIN-137$
12000233,BLMM,W11001,HH02,20COM*30COM- 72*56-143-PLAIN-137$
12000233,BLMMJ,W11001,HH02,20COM*30COM- 72*56-143-PLAIN-137$
12000234,BAMM,W22001,HH01,20COM+20MC*20COM+20MC-72*50-143-PLAIN-166
12000234,BAMM,W22001,HH02,20COM+20MC*20COM+20MC-72*50-143-PLAIN-166
12000249,BACC,W11001,HH01,20MC*20MC- -PLAIN
12000266,BADD,S21001,HH01,20K.COM.VIS*20K.COM.COT.FLAX- -PLAIN
12000266,BADDJ,S21001,HH01,20K.COM.VIS*20K.COM.COT.FLAX- -PLAIN
13000116,BAMFWJ,W11001,DD04,30COM*200D.PET.STR.ATY(70D)- *84-4/1 S SATIN
13000312,BAMM,W11001,RR01,30MEL*40MEL- *80-PLAIN
13000356,LXKK,C22020,HH03,30K.VIS*30K.VIS- *68-2/2 Z TWILL
13000375,LXPP,W11001,RR01,30VIS.MEL*30VIS.MEL-94*70-147-2/2 Z TWILL-154
13000405,LXKK,C33001,HH01,30K.VIS*30K.VIS- *68-DOBBY (CREPE)
13000415,BAMC,F12001,HH01,30COM*16OE+16MC-80*60-152-PLAIN-167
13000415,BAMC,W12001,HH01,30COM*16OE+16MC-80*60-152-PLAIN-167
13000504,BAMFWJ,W11001,DD01,30COM*200D.PET.STR.ATY(70D)- *84-4/1 S SATIN
13000513,HOOT,C44001,HH01,30OE*30OE *74 -2/2 S TWILL
130C11,BAMM,W11001,HH01,30COM*30COM-89*66-149-PLAIN-130 $
130C11,BAMM,W11001,HH02,30COM*30COM-89*66-149-PLAIN-130 $
130C11,BAMM,W11001,HH03,30COM*30COM-89*66-149-PLAIN-130 $
14000014,BAMM,W11001,RR02,"40MEL*40MEL-120*80-148-2/2,Z TWILL-125 $"
14000014,BAMM,W11001,RR03,"40MEL*40MEL-120*80-148-2/2,Z TWILL-125 $"
14000015,LLMMS,S13001,HH01,WRONG CREATION
14000032,BAMMS,F21001,HH01,40COM*40COM-116*78-149-PLAIN-120 $
14000032,BAMMS,F21001,HH02,40COM*40COM-116*78-149-PLAIN-120 $
14000093,BAMM,W11001,HH54,40COM*40COM- *80-OXFORD
14000093,BAMMS,W11001,HH53,40COM*40COM- *80-OXFORD
14000093,BLMMS,W11001,HH52,40COM*40COM- *80-OXFORD
14000093,LLMMS,W11001,HH51,40COM*40COM- *80-OXFORD
14000251,BAMMS,F21001,HH01,40COM*40COM-110*78-149-PLAIN 117 $
14000270,BAMMNK,C22001,HH01,40COM*40COM-132*72-157-PLAIN-130 $
14000270,BAMMNK,C22001,HH03,40COM*40COM-132*72-157-PLAIN-130 $
14000306,BLMMS,W11001,HH01,40COM*40MEL-128*74-150-PLAIN 128
14000306,BLMMS,W11001,HH02,40COM*40MEL- *76-PLAIN
14000342,BAMM,W11001,RR02,40MEL*40MEL-98*80*149-PLAIN 115 $
14000342,BAMM,W11001,RR03,40MEL*40MEL-98*80*149-PLAIN 115 $
14000342,BAMM,W11001,RR04,40MEL*40MEL-98*80*149-PLAIN 115 $
14000342,BAMM,W11001,RR06,40MEL*40MEL-98*80*149-PLAIN 115 $
